Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,BIP,BABIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,좌%,좌중%,중%,우중%,우%,당%,밀%,좌,좌중,중,우중,우,당,밀,좌_안타,좌중_안타,중_안타,우중_안타,우_안타,당_안타,밀_안타,좌_안타비율,좌중안타비율,중안타비율,우중안타비율,우안타비율,당안타비율,밀안타비율
윌커슨,14,14,0,1,1,1,6,5,0,0,88.2,34,36,36.00,355,90,18,2,10,9,1,0,79,4,0,3,3.45,3.65,3.65,3.50,3.67,1.12,3.44,255,0.314,42.9,7.1,47.4,54.5,2.6,0.8,6.9,7.8,20.4,22.3,15.1,23.0,19.2,54.2,45.8,54,59,40,61,51,122,103,19,16,14,20,21,49,27,0.352,0.271,0.350,0.328,0.412,0.402,0.262
황준서,14,10,4,0,0,0,2,6,0,0,51.1,25,25,24.50,228,47,9,0,6,31,5,0,48,1,0,2,4.38,4.38,4.30,4.16,5.43,1.52,1.44,136,0.302,41.7,6.3,50.7,56.9,1.4,0.7,7.3,8.5,25.2,19.6,21.0,16.8,17.5,54.9,45.1,36,28,30,24,25,62,51,15,10,13,3,6,24,10,0.417,0.357,0.433,0.125,0.240,0.387,0.196
김사윤,14,2,12,5,0,0,0,1,1,0,23.1,11,21,20.15,111,26,4,1,2,17,5,0,19,1,0,2,4.24,8.10,7.77,7.95,6.11,1.84,-0.15,68,0.353,48.6,4.3,42.9,47.1,4.3,1.0,6.1,11.5,31.4,15.7,22.9,12.9,17.1,63.0,37.0,22,11,16,9,12,34,20,11,3,6,1,5,14,6,0.500,0.273,0.375,0.111,0.417,0.412,0.300
원태인,13,13,0,0,0,0,6,3,0,0,74.0,25,27,27.00,311,65,13,2,6,22,4,0,55,4,0,2,3.04,3.28,3.28,3.13,4.40,1.18,2.35,223,0.265,46.1,3.9,47.4,51.3,2.6,0.9,5.1,9.2,15.3,19.2,19.2,21.8,24.5,60.0,40.0,35,44,44,50,56,111,74,12,7,17,11,18,26,22,0.343,0.159,0.386,0.220,0.321,0.234,0.297
윤영철,13,13,0,0,0,0,6,3,0,0,63.2,31,34,32.65,284,66,10,1,8,34,0,0,45,6,0,1,4.38,4.81,4.62,4.70,5.58,1.57,1.54,192,0.302,47.8,5.9,41.5,47.3,4.9,1.0,8.2,9.1,23.0,20.1,22.1,16.7,18.1,69.2,30.8,47,41,45,34,37,110,49,14,12,18,7,15,36,12,0.298,0.293,0.400,0.206,0.405,0.327,0.245
성재헌,13,1,12,2,0,0,0,0,0,1,11.0,13,13,13.20,60,15,6,1,1,11,3,1,6,0,1,1,10.64,10.64,10.80,10.43,7.58,2.36,-0.14,39,0.359,52.5,2.5,37.5,40.0,7.5,1.3,6.3,13.3,17.5,20.0,22.5,15.0,25.0,48.4,51.6,7,8,9,6,10,15,16,3,4,3,2,3,7,5,0.429,0.500,0.333,0.333,0.300,0.467,0.313
송영진,13,8,5,1,0,0,2,3,0,0,42.2,28,33,31.45,195,53,12,2,3,19,0,0,36,3,0,3,5.91,6.96,6.63,6.63,4.31,1.69,0.22,135,0.370,52.9,2.9,39.3,42.1,5.0,1.3,5.1,11.3,17.9,27.1,20.7,16.4,17.9,63.1,36.9,25,38,29,23,25,70,41,12,11,9,6,15,33,11,0.480,0.289,0.310,0.261,0.600,0.471,0.268
우강훈,13,0,13,4,0,0,1,0,0,0,10.2,4,6,5.85,54,11,1,0,0,8,6,0,10,0,0,2,3.38,5.06,4.94,5.00,5.93,1.78,0.11,30,0.367,66.7,0.0,33.3,33.3,0.0,2.0,0.0,18.2,16.7,23.3,10.0,23.3,26.7,51.9,48.1,5,7,3,7,8,14,13,3,0,1,3,4,4,6,0.600,0.000,0.333,0.429,0.500,0.286,0.462
류현진,13,13,0,0,0,0,4,4,0,0,72.0,30,38,36.95,310,81,7,1,1,18,1,0,59,5,0,1,3.75,4.75,4.62,4.63,3.14,1.38,1.74,229,0.349,54.3,7.3,36.2,43.5,2.2,1.2,1.0,12.3,19.5,22.9,19.9,20.3,17.3,54.3,45.7,45,53,46,47,40,101,85,16,14,23,14,14,29,29,0.356,0.264,0.500,0.298,0.350,0.287,0.341
김시훈,13,13,0,0,0,0,2,1,0,0,61.1,30,32,31.30,272,64,13,1,5,35,1,0,45,3,0,1,4.40,4.70,4.59,4.76,5.16,1.61,1.26,185,0.319,46.1,3.1,46.6,49.7,4.2,0.9,5.3,6.3,27.4,21.1,18.9,17.4,15.3,64.3,35.7,52,40,36,33,29,99,55,16,14,11,11,12,38,15,0.308,0.350,0.306,0.333,0.414,0.384,0.273
최성영,13,0,13,5,0,0,0,0,1,1,22.2,23,25,26.55,113,39,6,0,6,9,0,0,16,0,0,0,9.13,9.93,10.54,10.52,6.29,2.12,-0.55,83,0.410,40.9,1.1,53.4,54.5,4.5,0.8,12.5,2.6,22.7,22.7,17.0,21.6,15.9,57.5,42.5,20,20,15,19,14,42,31,10,3,9,8,9,19,11,0.500,0.150,0.600,0.421,0.643,0.452,0.355
손주영,13,13,0,0,0,0,5,3,0,0,65.2,26,31,29.45,290,72,8,0,8,26,4,0,52,6,0,3,3.56,4.25,4.04,4.15,5.09,1.49,1.83,195,0.328,52.9,3.4,38.9,42.3,4.8,1.3,9.1,5.6,23.7,21.3,16.9,21.3,16.9,58.1,41.9,49,44,35,44,35,100,72,22,15,8,13,14,39,25,0.449,0.341,0.229,0.295,0.400,0.390,0.347
카스타노,13,13,0,0,0,0,5,3,0,0,78.2,33,43,42.65,329,74,15,2,8,15,7,0,62,6,0,0,3.78,4.92,4.88,4.95,4.31,1.13,1.40,233,0.283,55.1,3.3,38.4,41.6,3.3,1.3,7.8,12.2,27.0,19.7,12.7,23.0,17.6,61.5,38.5,66,48,31,56,43,131,82,28,16,7,11,12,46,21,0.424,0.333,0.226,0.196,0.279,0.351,0.256
백승현,13,0,13,2,0,0,0,0,1,1,9.2,11,11,9.10,53,13,3,0,0,10,1,2,5,0,0,1,10.24,10.24,8.47,8.64,6.11,2.38,-0.15,35,0.371,56.8,10.8,32.4,43.2,0.0,1.3,0.0,0.0,18.9,27.0,21.6,18.9,13.5,58.6,41.4,7,10,8,7,5,17,12,2,4,3,3,1,5,5,0.286,0.400,0.375,0.429,0.200,0.294,0.417
김호준,12,1,11,4,0,0,1,2,0,0,11.2,8,9,8.30,54,17,4,0,1,2,3,0,6,0,0,0,6.17,6.94,6.40,6.28,5.26,1.63,0.06,40,0.400,41.9,4.7,46.5,51.2,7.0,0.8,4.5,11.8,12.2,24.4,19.5,26.8,17.1,67.6,32.4,5,10,8,11,7,23,11,2,6,3,3,2,8,6,0.400,0.600,0.375,0.273,0.286,0.348,0.545
