Name,Team,Position,Pitching/Batting Style,Birth
이상동 (Sang-Dong Lee),KT,P,우투우타,"생년월일 :
1995년 11월 24일"
문용익 (Yong-Ik Moon ),KT,P,우투우타,"생년월일 :
1995년 02월 04일"
조영건 (Young-Geon Cho),키움,P,우투우타,"생년월일 :
1999년 02월 04일"
주권 (Kwon Joo),KT,P,우투우타,"생년월일 :
1995년 05월 31일"
김동주 (Dong-Joo Kim),두산,P,우투우타,"생년월일 :
2002년 02월 14일"
한승주 (Seung-Joo Han),한화,P,우투우타,"생년월일 :
2001년 03월 17일"
윤중현 (Joong-Hyun Yoon),KIA,P,우언우타,"생년월일 :
1995년 04월 25일"
손동현 (Dong-Hyun Son),KT,P,우투좌타,"생년월일 :
2001년 01월 23일"
이건욱 (Geon-Wook Lee),SSG,P,우투우타,"생년월일 :
1995년 02월 13일"
이태양 (Tae-Yang Lee),한화,P,우투좌타,"생년월일 :
1990년 07월 03일"
윤석원 (Suk-Won Yoon),,P,좌투좌타,"생년월일 :
2003년 07월 04일"
류진욱 (Jin-Wook Ryou),NC,P,우투우타,"생년월일 :
1996년 10월 10일"
구승민 (Seung-Min Koo),롯데,P,우투우타,"생년월일 :
1990년 06월 12일"
이승민 (Seung-Min Lee),삼성,P,좌투좌타,"생년월일 :
2000년 08월 26일"
김명신 (Myeong-Shin Kim),두산,P,우투우타,"생년월일 :
1993년 11월 29일"
이우찬 (Woo-Chan Lee),LG,P,좌투좌타,"생년월일 :
1992년 08월 04일"
최성영 (Seong-Young Choi),NC,P,좌투좌타,"생년월일 :
1997년 04월 28일"
더거 (Robert Lee Dugger),SSG,P,우투우타,"생년월일 :
1995년 07월 03일"
